tableId,started,ended,time,username,score,winner,bid,building.10a,building.10b,building.11a,building.11b,building.12a,building.12b,building.13a,building.13b,building.1a,building.1b,building.2a,building.2b,building.3a,building.3b,building.4a,building.4b,building.5a,building.5b,building.6a,building.6b,building.7a,building.7b,building.8a,building.8b,building.9a,building.9b,building.A,building.B,building.C,building.D,building.E,building.F,building.G,cowboys,craftsmen,deliveries.ALBUQUERQUE,deliveries.CHICAGO,deliveries.CLEVELAND,deliveries.COLORADO_SPRINGS,deliveries.COLUMBIA,deliveries.DENVER,deliveries.DETROIT,deliveries.EL_PASO,deliveries.GREEN_BAY,deliveries.KANSAS_CITY,deliveries.MEMPHIS,deliveries.MILWAUKEE,deliveries.MINNEAPOLIS,deliveries.MONTREAL,deliveries.NEW_YORK_CITY,deliveries.PITTSBURGH,deliveries.SACRAMENTO,deliveries.SANTA_FE,deliveries.SAN_DIEGO,deliveries.SAN_FRANCISCO,deliveries.ST_LOUIS,deliveries.TOPEKA,deliveries.TORONTO,deliveries.WICHITA,engineers,handLimit,permCerts,players,rttn,score.BID,score.BUILDINGS,score.CATTLE_CARDS,score.CITIES,score.DOLLARS,score.EXTRA_STEP_POINTS,score.HAZARDS,score.JOB_MARKET_TOKEN,score.OBJECTIVE_CARDS,score.STATIONS,score.STATION_MASTERS,score.WORKERS,seat,stepLimit,stops.10a,stops.10b,stops.11a,stops.11b,stops.12a,stops.12b,stops.13a,stops.13b,stops.1a,stops.1b,stops.2a,stops.2b,stops.3a,stops.3b,stops.4a,stops.4b,stops.5a,stops.5b,stops.6a,stops.6b,stops.7a,stops.7b,stops.8a,stops.8b,stops.9a,stops.9b,stops.A,stops.B,stops.C,stops.D,stops.E,stops.F,stops.G,stops.hazard,stops.teepee,tempCertLimit,tempCerts,turns
ea538874-63dd-4704-a216-1624ab9919d0,2021-01-21T21:44:03Z,2021-01-28T20:51:46Z,10027,nthep,55,N,,,,,,,,,,,,,A-3,,,,G-2,,,A-2,,,,,,,,A,E,F,G,C,B,D,6,4,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,4,0,4,N,0,9,15,0,0,3,8,0,8,1,3,8,3,7,,,,,,,,,,,,3,,,,0,,,0,,,,,,,,7,2,3,4,7,3,6,0,0,4,0,37
ea538874-63dd-4704-a216-1624ab9919d0,2021-01-21T21:44:03Z,2021-01-28T20:51:46Z,10027,sfcsuperfan,78,N,,,,,,,,,,E-1,,,E-2,,F-1,,G-1,,,,,,,,,,,A,E,F,G,C,B,D,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,6,0,4,N,0,8,10,15,3,3,3,0,10,18,0,8,2,7,,,,,,,,,4,,,2,,1,,3,,,,,,,,,,,4,5,5,4,3,4,2,0,0,6,0,37
ea538874-63dd-4704-a216-1624ab9919d0,2021-01-21T21:44:03Z,2021-01-28T20:51:46Z,10027,petem,72,N,,,,,,,,,,B-1,,,C-2,,F-2,,,,,,,,,,,,,A,E,F,G,C,B,D,4,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,5,1,4,N,0,5,11,18,4,3,10,2,8,8,3,0,1,7,,,,,,,,,1,,,1,,5,,,,,,,,,,,,,5,3,5,5,3,7,4,0,0,6,1,36
643de769-f453-49f8-916e-bf7d3aac2ec6,2021-03-25T07:59:09Z,2021-03-25T08:34:43Z,35,bignike,94,Y,,,,,,,,,,,,,,,,G-2,,,,,,,,,,,,A,D,G,C,F,B,E,5,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,3,6,1,2,N,0,3,34,32,4,3,4,2,0,5,3,4,1,5,,,,,,,,,,,,,,,3,,,,,,,,,,,,6,1,7,2,7,6,1,0,0,4,0,43
643de769-f453-49f8-916e-bf7d3aac2ec6,2021-03-25T07:59:09Z,2021-03-25T08:34:43Z,35,skylab,67,N,,F-2,,,,,,,,,,,,,,,,,,FLOOD-RISK-2,,,,B-1,,F-1,,A,D,G,C,F,B,E,1,6,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,2,2,N,0,33,0,-12,2,3,15,0,6,4,8,8,2,5,1,,,,,,,,,,,,,,,,,,2,,,,2,,2,,4,5,4,4,2,5,3,0,0,4,0,43
9dd4d289-c8ce-48c7-93b4-e55ea3b560d9,2021-01-18T08:45:43Z,2021-01-18T09:54:44Z,69,habe1966,91,N,0,,,,,,,,,,A-3,,,B-1,,,E-2,,,,,,,,,,,C,E,B,F,D,G,A,6,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,2,5,0,2,Y,0,5,23,15,2,3,4,2,8,7,14,8,2,5,,,,,,,,,,2,,,3,,,3,,,,,,,,,,,5,2,2,8,4,4,3,0,0,6,0,31
9dd4d289-c8ce-48c7-93b4-e55ea3b560d9,2021-01-18T08:45:43Z,2021-01-18T09:54:44Z,69,patrickoftheisles,105,Y,4,E-1,,DROUGHT-RISK-1,,,,,,,,,,A-1,,,A-2,,,,,,,C-2,,,,C,E,B,F,D,G,A,1,6,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,4,2,2,Y,-4,48,3,10,0,3,11,0,8,3,15,8,1,5,4,,1,,,,,,,,,,6,,,7,,,,,,,1,,,,5,5,2,4,0,5,3,0,0,6,6,32
cc69e618-0f23-403f-9f3c-89d7a5b54602,2021-02-17T04:16:18Z,2021-02-17T04:57:15Z,40,rexdp,42,N,0,,,,,,,,,,E-1,INDIAN-TRADE-RISK-2,,G-2,,F-1,,,,,,,,,,,,G,C,D,B,A,F,E,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,5,2,2,N,0,6,6,7,2,3,8,2,3,5,0,0,2,4,,,,,,,,,,0,4,,0,,2,,,,,,,,,,,,3,4,1,4,0,5,3,1,0,4,1,28
cc69e618-0f23-403f-9f3c-89d7a5b54602,2021-02-17T04:16:18Z,2021-02-17T04:57:15Z,40,dannerz,72,Y,1,B-3,,,,,,,,,A-3,,,,,ROCKFALL-RISK-2,,,,,E-2,,,,,,,G,C,D,B,A,F,E,1,3,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,2,2,N,-1,22,0,-6,2,3,9,0,10,7,26,0,1,5,3,,,,,,,,,0,,,,,4,,,,,0,,,,,,,6,5,0,6,0,3,6,0,0,6,6,29
3b1b4d56-e0c7-4041-a9f5-d9b2ded9cd80,2021-03-19T20:10:44Z,2021-03-19T21:45:37Z,94,berilga,60,Y,,,,,,,,,,,,C-1-1,,C-1-2,,,,,,,,,,,,,,A,B,C,D,E,F,G,4,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,5,0,2,N,0,2,25,2,0,0,11,0,13,1,6,0,2,4,,,,,,,,,,,0,,1,,,,,,,,,,,,,,4,2,2,2,5,4,5,0,0,3,0,30
